original_product_id,product_id,product_name,item_no,cost,price_per_unit,shippable,family_category_id,description
543,NULL,Hardware Cloth - Vinyl PVC Coated,AFCHWCVC,NULL,NULL,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
545,NULL,Hardware Cloth - Vinyl PVC Coated,WW15192524GR,NULL,23.6,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
552,NULL,Hardware Cloth - Vinyl PVC Coated,WW15192536GR,NULL,35.8,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
553,NULL,Hardware Cloth - Vinyl PVC Coated,WW15192548GR,NULL,46.4,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
554,NULL,Hardware Cloth - Vinyl PVC Coated,WW15192524BK,NULL,22.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
555,NULL,Hardware Cloth - Vinyl PVC Coated,WW15192536BK,NULL,35.8,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
556,NULL,Hardware Cloth - Vinyl PVC Coated,WW15192548BK,NULL,40.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
43077,NULL,Hardware Cloth - Vinyl PVC Coated,WW151910024BK,41.67,155.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
43076,NULL,Hardware Cloth - Vinyl PVC Coated,WW15195072BK,49.65,200.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
43075,NULL,Hardware Cloth - Vinyl PVC Coated,WW15195060BK,41.45,170.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
43065,NULL,Hardware Cloth - Vinyl PVC Coated,WW15165036BK,NULL,200.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
43067,NULL,Hardware Cloth - Vinyl PVC Coated,WW15165060BK,NULL,300.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
43066,NULL,Hardware Cloth - Vinyl PVC Coated,WW15165048BK,NULL,220.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
35811,NULL,Hardware Cloth - Vinyl PVC Coated,WW151910048BK,72.5,240.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
35810,NULL,Hardware Cloth - Vinyl PVC Coated,WW151910036BK,54.34,200.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
35809,NULL,Hardware Cloth - Vinyl PVC Coated,WW15195048BK,42.74,120.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
35808,NULL,Hardware Cloth - Vinyl PVC Coated,WW15195036BK,29.11,100.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
35807,NULL,Hardware Cloth - Vinyl PVC Coated,WW15195024BK,21.34,80.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
43789,NULL,Hardware Cloth - Vinyl PVC Coated,WW151910060BK,86.05,300.0,1,5,"Academy Vinyl PVC Hardware Cloth manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy Vinyl PVC Hardware Cloth coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
