"id"	"name"	"color"	"item_number"	"list"	"cost"	"price"	"ws_price"	"ex_price"	"weight_lbs"	"shipable"	"free_shipping"	"special_shipping"	"amount_per_box"	"web_size"	"display_size_2"	"alt_length"	"alt_width"	"alt_height"	"ship_length"	"ship_width"	"ship_height"	"nominal_length"	"nominal_width"	"nominal_height"	"inv_stocked"	"inv_eastorange"	"inv_orange"	"inv_ordered"	"featured"	"enabled"	"associated"	"related"	"case_enabled"	"case_quantity"	"case_length"	"case_width"	"case_height"	"case_weight"	"case_price"	"container_enabled"	"container_quantity"	"container_length"	"container_width"	"container_height"	"container_weight"	"container_price"	"pallet_enabled"	"pallet_quantity"	"pallet_length"	"pallet_width"	"pallet_height"	"pallet_weight"	"pallet_price"	"truckload_enabled"	"truckload_quantity"	"truckload_length"	"truckload_width"	"truckload_height"	"truckload_weight"	"truckload_price"	"meta_title"	"add_keywords"	"master_model"	"parent"	"class"
"422"	"Galvanized Welded Wire"	""	"AFCGWW2X4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3457"	"Galvanized 3 x 2"	""	"AFCGWW3X2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3458"	"Galvanized 1 x 2"	""	"AFCGWW1X2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3459"	"Galvanized 1 X 1"	""	"AFCGWW1X1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3460"	"Galvanized 1/2 x 1"	""	"AFCGWW12X1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3358"	"Welded Wire - Galvanized "	"Galvanized"	"WW24145036"	"0.00"	"0.00"	"60.00"	"0.00"	""	"24.00"	"1"	"0"	"1"	"1"	"36in x 50ft"	"2in x 4in 14 Gauge "	""	""	""	"10"	"10"	"36"	""	""	""	"12"	"12"	"0"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241436G"	"WWF"
"3359"	"Welded Wire - Galvanized "	"Galvanized"	"WW24145048"	"0.00"	"0.00"	"90.00"	"0.00"	""	"33.00"	"1"	"0"	"1"	"1"	"48in x 50ft"	"2in x 4in 14 Gauge "	""	""	""	"10"	"10"	"48"	""	""	""	"25"	"25"	"0"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241448G"	"WWF"
"3360"	"Welded Wire - Galvanized "	"Galvanized"	"WW24145060"	"0.00"	"0.00"	"95.00"	"0.00"	""	"40.00"	"1"	"0"	"1"	"1"	"60in x 50ft"	"2in x 4in 14 Gauge "	""	""	""	"12"	"12"	"60"	""	""	""	"10"	"10"	"0"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241460G"	"WWF"
"3361"	"Welded Wire - Galvanized "	"Galvanized"	"WW24145072"	"0.00"	"0.00"	"120.00"	"0.00"	""	"48.00"	"1"	"0"	"1"	"1"	"72in x 50ft"	"2in x 4in 14 Gauge "	""	""	""	"12"	"12"	"72"	""	""	""	"6"	"12"	"-6"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241472G"	"WWF"
"3362"	"Welded Wire - Galvanized "	"Galvanized"	"WW241410036"	"0.00"	"0.00"	"120.00"	"0.00"	""	"48.00"	"1"	"0"	"1"	"1"	"36in x 100ft"	"2in x 4in 14 Gauge "	""	""	""	"14"	"14"	"36"	""	""	""	"6"	"10"	"-4"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241436G"	"WWF"
"3363"	"Welded Wire - Galvanized "	"Galvanized"	"WW241410048"	"0.00"	"0.00"	"150.00"	"0.00"	""	"61.00"	"1"	"0"	"1"	"1"	"48in x 100ft"	"2in x 4in 14 Gauge "	""	""	""	"14"	"14"	"48"	""	""	""	"12"	"22"	"-10"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241448G"	"WWF"
"3364"	"Welded Wire - Galvanized "	"Galvanized"	"WW241410060"	"0.00"	"0.00"	"180.00"	"0.00"	""	"77.00"	"1"	"0"	"1"	"1"	"60in x 100ft"	"2in x 4in 14 Gauge "	""	""	""	"14"	"14"	"60"	""	""	""	"19"	"24"	"-5"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241460G"	"WWF"
"3365"	"Welded Wire - Galvanized "	"Galvanized"	"WW241410072"	"0.00"	"0.00"	"220.00"	"0.00"	""	"91.00"	"1"	"0"	"1"	"1"	"72in x 100ft "	"2in x 4in 14 Gauge "	""	""	""	"14"	"14"	"73"	""	""	""	"1"	"8"	"-7"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW241472G"	"WWF"
"16284"	"Galvanized Welded Wire"	""	"WW241436G"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	"4"	"10.00"	"10.00"	"4.00"	"40.00"	"103.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"18"	"48.00"	"48.00"	"52.00"	"505.00"	"2216.70"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"16285"	"Galvanized Welded Wire"	""	"WW241448G"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	"4"	"10.00"	"10.00"	"4.00"	"40.00"	"103.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"18"	"48.00"	"48.00"	"52.00"	"505.00"	"2216.70"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"16286"	"Galvanized Welded Wire"	""	"WW241460G"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	"4"	"10.00"	"10.00"	"4.00"	"40.00"	"103.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"18"	"48.00"	"48.00"	"52.00"	"505.00"	"2216.70"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"16287"	"Galvanized Welded Wire"	""	"WW241472G"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	"4"	"10.00"	"10.00"	"4.00"	"40.00"	"103.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"18"	"48.00"	"48.00"	"52.00"	"505.00"	"2216.70"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"16288"	"Galvanized Welded Wire"	""	"WW241248G"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	"4"	"10.00"	"10.00"	"4.00"	"40.00"	"103.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"18"	"48.00"	"48.00"	"52.00"	"505.00"	"2216.70"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"16289"	"Galvanized Welded Wire"	""	"WW241260G"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	"4"	"10.00"	"10.00"	"4.00"	"40.00"	"103.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"18"	"48.00"	"48.00"	"52.00"	"505.00"	"2216.70"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"16290"	"Galvanized Welded Wire"	""	"WW241272G"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	"4"	"10.00"	"10.00"	"4.00"	"40.00"	"103.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"18"	"48.00"	"48.00"	"52.00"	"505.00"	"2216.70"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3373"	"Welded Wire - Galvanized "	"Galvanized"	"WW32165036"	"0.00"	"0.00"	"31.75"	"0.00"	""	"15.00"	"1"	"0"	"1"	"1"	"36in x 50ft"	"3in x 2in 16 Gauge"	""	""	""	"8"	"8"	"36"	""	""	""	"20"	"20"	"0"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW321636G"	"WWF"
"3374"	"Welded Wire - Galvanized "	"Galvanized"	"WW32165048"	"0.00"	"0.00"	"44.65"	"0.00"	""	"20.00"	"1"	"0"	"1"	"1"	"48in x 50ft"	"3in x 2in 16 Gauge"	""	""	""	"8"	"8"	"48"	""	""	""	"28"	"28"	"0"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW321648G"	"WWF"
"16304"	"Galvanized Welded Wire"	""	"WW321624G"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	"4"	"10.00"	"10.00"	"4.00"	"40.00"	"103.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"18"	"48.00"	"48.00"	"52.00"	"505.00"	"2216.70"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"16305"	"Galvanized Welded Wire"	""	"WW321636G"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	"4"	"10.00"	"10.00"	"4.00"	"40.00"	"103.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"18"	"48.00"	"48.00"	"52.00"	"505.00"	"2216.70"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"16306"	"Galvanized Welded Wire"	""	"WW321648G"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	"4"	"10.00"	"10.00"	"4.00"	"40.00"	"103.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"1"	"18"	"48.00"	"48.00"	"52.00"	"505.00"	"2216.70"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"1"	""	"WWF"
"3375"	"Welded Wire - Galvanized "	"Galvanized"	"WW12145036"	"0.00"	"0.00"	"175.00"	"0.00"	""	"45.00"	"1"	"0"	"1"	"1"	"36in x 50ft"	"1in x 2in 14 Gauge"	""	""	""	"10"	"10"	"36"	""	""	""	"19"	"24"	"-5"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW121436G"	"WWF"
"3376"	"Welded Wire - Galvanized "	"Galvanized"	"WW12145048"	"0.00"	"0.00"	"200.00"	"0.00"	""	"61.00"	"1"	"0"	"1"	"1"	"48in x 50ft"	"1in x 2in 14 Gauge"	""	""	""	"10"	"10"	"48"	""	""	""	"10"	"20"	"-10"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW121448G"	"WWF"
"3377"	"Welded Wire - Galvanized "	"Galvanized"	"WW121410018"	"0.00"	"0.00"	"200.00"	"0.00"	""	"45.00"	"1"	"0"	"1"	"1"	"18in x 100ft"	"1in x 2in 14 Gauge"	""	""	""	"15"	"15"	"18"	""	""	""	"5"	"5"	"0"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW121418G"	"WWF"
"3378"	"Welded Wire - Galvanized "	"Galvanized"	"WW121410024"	"0.00"	"0.00"	"200.00"	"0.00"	""	"60.00"	"1"	"0"	"1"	"1"	"24in x 100ft"	"1in x 2in 14 Gauge"	""	""	""	"15"	"15"	"24"	""	""	""	"10"	"10"	"0"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW121424G"	"WWF"
"3379"	"Welded Wire - Galvanized "	"Galvanized"	"WW121410036"	"0.00"	"0.00"	"300.00"	"0.00"	""	"90.00"	"1"	"0"	"1"	"1"	"36in x 100ft"	"1in x 2in 14 Gauge"	""	""	""	"14"	"14"	"36"	""	""	""	"22"	"33"	"-11"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW121436G"	"WWF"
"3380"	"Welded Wire - Galvanized "	"Galvanized"	"WW121410048"	"0.00"	"0.00"	"360.00"	"0.00"	""	"120.00"	"1"	"0"	"1"	"1"	"48in x 100ft"	"1in x 2in 14 Gauge"	""	""	""	"14"	"14"	"48"	""	""	""	"22"	"26"	"-4"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW121448G"	"WWF"
"3381"	"Welded Wire - Galvanized "	"Galvanized"	"WW121410060"	"0.00"	"0.00"	"450.00"	"0.00"	""	"157.00"	"0"	"0"	""	""	"60in x 100ft"	"1in x 2in 14 Gauge"	""	""	""	"14"	"14"	"61"	""	""	""	"24"	"33"	"-9"	"0"	""	"1"	""	""	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	"0"	"0"	"0.00"	"0.00"	"0.00"	"0.00"	"0.00"	""	""	"0"	"WW121460G"	"WWF"
